timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,price_type
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,DE-LU,156.67,imbalance_long
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,DE-LU,156.67,imbalance_short
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,NL,180.24,imbalance_long
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,NL,180.24,imbalance_short
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,DE-LU,40.22,imbalance_long
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,DE-LU,40.22,imbalance_short
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,FR,115.67,imbalance_long
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,FR,127.85,imbalance_short
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,NL,417.0,imbalance_long
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,NL,417.0,imbalance_short
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,DE-LU,-7.37,imbalance_long
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,DE-LU,-7.37,imbalance_short
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,NL,171.27,imbalance_long
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,NL,171.27,imbalance_short
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,DE-LU,184.98,imbalance_long
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,DE-LU,184.98,imbalance_short
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,FR,115.13,imbalance_long
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,FR,127.25,imbalance_short
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,NL,139.37,imbalance_long
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,NL,139.37,imbalance_short
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,DE-LU,-91.05,imbalance_long
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,DE-LU,-91.05,imbalance_short
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,NL,153.06,imbalance_long
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,NL,153.06,imbalance_short
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,DE-LU,-96.87,imbalance_long
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,DE-LU,-96.87,imbalance_short
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,FR,127.82,imbalance_long
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,FR,141.28,imbalance_short
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,NL,219.51,imbalance_long
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,NL,219.51,imbalance_short
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,DE-LU,-95.58,imbalance_long
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,DE-LU,-95.58,imbalance_short
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,NL,174.1,imbalance_long
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,NL,174.1,imbalance_short
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,DE-LU,-44.98,imbalance_long
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,DE-LU,-44.98,imbalance_short
