timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,load_actual_mw
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,NL,180,10244.81
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,AT,95.3,
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,BE,166.72,
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,CH,168.87,
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,DE-LU,60,47069.46
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,FR,139.41,49205
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,NL,148.19,10321.81
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,AT,95.3,
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,BE,166.72,
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,CH,168.87,
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,DE-LU,60,46638.1
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,FR,139.41,49205
2021-11-08T02:15:00+00:00,2021-11-08T03:15:00+01:00,NL,148.19,10207.28
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,AT,95.3,
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,BE,166.72,
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,CH,168.87,
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,DE-LU,60,46810.45
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,FR,139.41,49205
2021-11-08T02:30:00+00:00,2021-11-08T03:30:00+01:00,NL,148.19,10244.75
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,AT,95.3,
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,BE,166.72,
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,CH,168.87,
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,DE-LU,60,47109.86
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,FR,139.41,49205
2021-11-08T02:45:00+00:00,2021-11-08T03:45:00+01:00,NL,148.19,10276.43
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,AT,100.91,
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,BE,172.69,
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,CH,170.57,
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,DE-LU,60.92,47782.93
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,FR,139.36,49134
2021-11-08T03:00:00+00:00,2021-11-08T04:00:00+01:00,NL,154.1,10371.87
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,AT,100.91,
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,BE,172.69,
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,CH,170.57,
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,DE-LU,60.92,47987.15
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,FR,139.36,49134
2021-11-08T03:15:00+00:00,2021-11-08T04:15:00+01:00,NL,154.1,10400.17
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,AT,100.91,
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,BE,172.69,
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,CH,170.57,
