timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,FR,213.43
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,NL,195.87
2021-11-08T12:00:00+00:00,2021-11-08T13:00:00+01:00,AT,214.58
2021-11-08T12:00:00+00:00,2021-11-08T13:00:00+01:00,BE,214.58
2021-11-08T12:00:00+00:00,2021-11-08T13:00:00+01:00,CH,205.07
2021-11-08T12:00:00+00:00,2021-11-08T13:00:00+01:00,DE-LU,214.58
2021-11-08T12:00:00+00:00,2021-11-08T13:00:00+01:00,FR,214.58
2021-11-08T12:00:00+00:00,2021-11-08T13:00:00+01:00,NL,214.58
2021-11-08T13:00:00+00:00,2021-11-08T14:00:00+01:00,AT,212.96
2021-11-08T13:00:00+00:00,2021-11-08T14:00:00+01:00,BE,212.96
2021-11-08T13:00:00+00:00,2021-11-08T14:00:00+01:00,CH,209.73
2021-11-08T13:00:00+00:00,2021-11-08T14:00:00+01:00,DE-LU,212.96
2021-11-08T13:00:00+00:00,2021-11-08T14:00:00+01:00,FR,212.96
2021-11-08T13:00:00+00:00,2021-11-08T14:00:00+01:00,NL,212.96
2021-11-08T14:00:00+00:00,2021-11-08T15:00:00+01:00,AT,220.09
2021-11-08T14:00:00+00:00,2021-11-08T15:00:00+01:00,BE,220.09
2021-11-08T14:00:00+00:00,2021-11-08T15:00:00+01:00,CH,216.73
2021-11-08T14:00:00+00:00,2021-11-08T15:00:00+01:00,DE-LU,220.09
2021-11-08T14:00:00+00:00,2021-11-08T15:00:00+01:00,FR,220.09
2021-11-08T14:00:00+00:00,2021-11-08T15:00:00+01:00,NL,220.09
2021-11-08T15:00:00+00:00,2021-11-08T16:00:00+01:00,AT,229.6
2021-11-08T15:00:00+00:00,2021-11-08T16:00:00+01:00,BE,229.6
2021-11-08T15:00:00+00:00,2021-11-08T16:00:00+01:00,CH,227.34
2021-11-08T15:00:00+00:00,2021-11-08T16:00:00+01:00,DE-LU,229.6
2021-11-08T15:00:00+00:00,2021-11-08T16:00:00+01:00,FR,229.6
2021-11-08T15:00:00+00:00,2021-11-08T16:00:00+01:00,NL,229.6
2021-11-08T16:00:00+00:00,2021-11-08T17:00:00+01:00,AT,290.36
2021-11-08T16:00:00+00:00,2021-11-08T17:00:00+01:00,BE,290.36
2021-11-08T16:00:00+00:00,2021-11-08T17:00:00+01:00,CH,271.59
2021-11-08T16:00:00+00:00,2021-11-08T17:00:00+01:00,DE-LU,290.36
2021-11-08T16:00:00+00:00,2021-11-08T17:00:00+01:00,FR,290.36
2021-11-08T16:00:00+00:00,2021-11-08T17:00:00+01:00,NL,290.36
2021-11-08T17:00:00+00:00,2021-11-08T18:00:00+01:00,AT,299.9
