debs_symbol,yahoo_ticker,exchange,resolved_via,shortName,longName,sector,industry,country,city,currency,quoteType,marketCap,fullTimeEmployees,website,isin_yf
794796.ETR,BT-A.L,ETR,isin,BT GROUP PLC ORD 5P,BT Group plc,Communication Services,Telecom Services,United Kingdom,London,GBp,EQUITY,19943729152.0,77200.0,https://www.bt.com,GB0030913577
801900.ETR,PBB.DE,ETR,isin,Deutsche Pfandbriefbank AG    I,Deutsche Pfandbriefbank AG,Financial Services,Mortgage Finance,Germany,Garching bei Munchen,EUR,EQUITY,471201472.0,1148.0,https://www.pfandbriefbank.com,DE0008019001
805100.ETR,WUW.DE,ETR,isin,WUESTENROT+WUERTT.AG O.N.,Wüstenrot & Württembergische AG,Financial Services,Insurance - Life,Germany,Kornwestheim,EUR,EQUITY,1370620928.0,5513.0,https://www.ww-ag.com,DE0008051004
812861.ETR,KGF.L,ETR,isin,KINGFISHER PLC ORD 15 5/7P,Kingfisher plc,Consumer Cyclical,Home Improvement Retail,United Kingdom,London,GBp,EQUITY,5020779008.0,69720.0,https://www.kingfisher.com,GB0033195214
813135.ETR,AMI.DE,ETR,isin,medondo holding AG            I,medondo holding AG,Technology,Information Technology Services,Germany,Munich,EUR,EQUITY,3943768.0,,https://holding.medondo.com,DE0008131350
813516.ETR,NDAQ,ETR,isin,"Nasdaq, Inc.","Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,New York,USD,EQUITY,52510334976.0,9630.0,https://www.nasdaq.com,US6311031081
814820.ETR,MBK.DE,ETR,isin,MERKUR PRIVATBANK KGaA        I,Merkur PrivatBank KgaA,Financial Services,Banks - Regional,Germany,Munich,EUR,EQUITY,85566248.0,532.0,https://www.merkur-privatbank.de,DE0008148206
823212.ETR,LHA.DE,ETR,isin,DEUTSCHE LUFTHANSA AG         V,Deutsche Lufthansa AG,Industrials,Airlines,Germany,Cologne,EUR,EQUITY,10890546176.0,103406.0,https://www.lufthansagroup.com,DE0008232125
830350.ETR,TEG.DE,ETR,isin,TAG Immobilien AG             I,TAG Immobilien AG,Real Estate,Real Estate - Diversified,Germany,Hamburg,EUR,EQUITY,2576812288.0,1907.0,https://www.tag-ag.com,DE0008303504
840221.ETR,HNR1.DE,ETR,isin,HANNOVER RUECK SE NA O.N.,Hannover Rück SE,Financial Services,Insurance - Reinsurance,Germany,Hanover,EUR,EQUITY,31114061824.0,3732.0,https://www.hannover-re.com,DE0008402215
840400.ETR,ALV.DE,ETR,isin,Allianz SE                    v,Allianz SE,Financial Services,Insurance - Diversified,Germany,Munich,EUR,EQUITY,163662020608.0,138378.0,https://www.allianz.com,DE0008404005
843002.ETR,MUV2.DE,ETR,isin,MUENCHENER RUECKVERS.-GES. AG N,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,Insurance - Reinsurance,Germany,Munich,EUR,EQUITY,67205586944.0,44369.0,https://www.munichre.com,DE0008430026
843596.ETR,NBG6.DE,ETR,isin,NUERNBERGER BET.AG VNA,NÜRNBERGER Beteiligungs-AG,Financial Services,Insurance - Diversified,Germany,Nuremberg,EUR,EQUITY,1381760640.0,3700.0,https://www.nuernberger.com,DE0008435967
850001.ETR,ERIC-B.ST,ETR,isin,"Ericsson, Telefonab. L M ser. B",Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,Sweden,Stockholm,SEK,EQUITY,307681034240.0,86536.0,https://www.ericsson.com,SE0000108656
850103.ETR,ABT,ETR,isin,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,United States,Abbott Park,USD,EQUITY,182002057216.0,122000.0,https://www.abbott.com,US0028241000
850133.ETR,AI.PA,ETR,isin,AIR LIQUIDE,L'Air Liquide S.A.,Basic Materials,Specialty Chemicals,France,Paris,EUR,EQUITY,109534781440.0,63126.0,https://www.airliquide.com,FR0000120073
850185.ETR,POS.VI,ETR,isin,PORR AG,PORR AG,Industrials,Engineering & Construction,Austria,Vienna,EUR,EQUITY,1463114752.0,18971.0,https://www.porr-group.com,AT0000609607
850222.ETR,AEP,ETR,isin,American Electric Power Company,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,Columbus,USD,EQUITY,72686985216.0,17581.0,https://www.aep.com,US0255371017
850226.ETR,AXP,ETR,isin,American Express Company,American Express Company,Financial Services,Credit Services,United States,New York,USD,EQUITY,226492170240.0,76800.0,https://www.americanexpress.com,US0258161092
850312.ETR,G.MI,ETR,isin,GENERALI,Assicurazioni Generali S.p.A.,Financial Services,Insurance - Diversified,Italy,Trieste,EUR,EQUITY,65149841408.0,82941.0,https://www.generali.com,IT0000062072
850347.ETR,ADP,ETR,isin,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",Technology,Software - Application,United States,Roseland,USD,EQUITY,101924241408.0,67000.0,https://www.adp.com,US0530151036
850354.ETR,AVY,ETR,isin,Avery Dennison Corporation,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,United States,Mentor,USD,EQUITY,12470226944.0,35000.0,https://www.averydennison.com,US0536111091
850403.ETR,BARC.L,ETR,isin,BARCLAYS PLC ORD 25P,Barclays PLC,Financial Services,Banks - Diversified,United Kingdom,London,GBp,EQUITY,67541450752.0,93000.0,https://home.barclays,GB0031348658
850471.ETR,BA,ETR,isin,Boeing Company (The),The Boeing Company,Industrials,Aerospace & Defense,United States,Arlington,USD,EQUITY,166725943296.0,182000.0,https://www.boeing.com,US0970231058
850501.ETR,BMY,ETR,isin,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,United States,Princeton,USD,EQUITY,127751979008.0,32500.0,https://www.bms.com,US1101221083
850517.ETR,BP.L,ETR,isin,BP PLC $0.25,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom,London,GBp,EQUITY,82306318336.0,93700.0,https://www.bp.com,GB0007980591
