filing_id,lei,company_name,country,period_end,date_added,json_url,package_url,error_count
969500C0AIAGQWZGJO13-2021-12-31-ESEF-FR-0,969500C0AIAGQWZGJO13,NEOEN,FR,2021-12-31,2022-04-05 00:00:00,https://filings.xbrl.org/969500C0AIAGQWZGJO13/2021-12-31/ESEF/FR/0/neoen-2021-12-31-fr.json,https://filings.xbrl.org/969500C0AIAGQWZGJO13/2021-12-31/ESEF/FR/0/neoen-2021-12-31-fr.zip,0
969500C0AIAGQWZGJO13-2022-12-31-ESEF-FR-0,969500C0AIAGQWZGJO13,NEOEN,FR,2022-12-31,2023-04-18 11:40:34.151177,https://filings.xbrl.org/969500C0AIAGQWZGJO13/2022-12-31/ESEF/FR/0/neoen-2022-12-31-fr.json,https://filings.xbrl.org/969500C0AIAGQWZGJO13/2022-12-31/ESEF/FR/0/neoen-2022-12-31-fr.zip,0
969500C2C11L0PTGRH11-2022-12-31-ESEF-FR-0,969500C2C11L0PTGRH11,PATRIMOINE ET COMMERCE,FR,2022-12-31,2023-03-21 10:33:24.329180,https://filings.xbrl.org/969500C2C11L0PTGRH11/2022-12-31/ESEF/FR/0/patrimoineetcommerce-2022-12-31-fr.json,https://filings.xbrl.org/969500C2C11L0PTGRH11/2022-12-31/ESEF/FR/0/patrimoineetcommerce-2022-12-31-fr.zip,16
969500C656AA39O94N60-2021-12-31-ESEF-FR-0,969500C656AA39O94N60,EURAZEO,FR,2021-12-31,2022-03-24 00:00:00,https://filings.xbrl.org/969500C656AA39O94N60/2021-12-31/ESEF/FR/0/eurazeo-2021-12-31-fr.json,https://filings.xbrl.org/969500C656AA39O94N60/2021-12-31/ESEF/FR/0/eurazeo-2021-12-31-fr.zip,0
969500C656AA39O94N60-2022-12-31-ESEF-FR-0,969500C656AA39O94N60,EURAZEO,FR,2022-12-31,2023-03-28 11:26:53.516375,https://filings.xbrl.org/969500C656AA39O94N60/2022-12-31/ESEF/FR/0/eurazeo-2022-12-31-fr.json,https://filings.xbrl.org/969500C656AA39O94N60/2022-12-31/ESEF/FR/0/eurazeo-2022-12-31-fr.zip,0
969500CE0X343D8ALO86-2021-11-30-ESEF-FR-0,969500CE0X343D8ALO86,KAUFMAN & BROAD SA,FR,2021-11-30,2022-04-05 00:00:00,https://filings.xbrl.org/969500CE0X343D8ALO86/2021-11-30/ESEF/FR/0/969500CE0X343D8ALO86-2021-11-30-fr.json,https://filings.xbrl.org/969500CE0X343D8ALO86/2021-11-30/ESEF/FR/0/969500CE0X343D8ALO86-2021-11-30-fr.zip,0
969500CE0X343D8ALO86-2022-11-30-ESEF-FR-0,969500CE0X343D8ALO86,KAUFMAN & BROAD SA,FR,2022-11-30,2023-04-04 21:51:41.837689,https://filings.xbrl.org/969500CE0X343D8ALO86/2022-11-30/ESEF/FR/0/969500CE0X343D8ALO86-2022-11-30-fr.json,https://filings.xbrl.org/969500CE0X343D8ALO86/2022-11-30/ESEF/FR/0/969500CE0X343D8ALO86-2022-11-30-fr.zip,0
969500CRQJCR86DNNC50-2022-12-31-ESEF-FR-0,969500CRQJCR86DNNC50,IMMOBILIERE DASSAULT SA,FR,2022-12-31,2023-03-21 10:29:31.247173,https://filings.xbrl.org/969500CRQJCR86DNNC50/2022-12-31/ESEF/FR/0/immobilieredassault-2022-12-31-fr.json,https://filings.xbrl.org/969500CRQJCR86DNNC50/2022-12-31/ESEF/FR/0/immobilieredassault-2022-12-31-fr.zip,0
969500DCGMF1DNOXFH76-2021-12-31-ESEF-FR-0,969500DCGMF1DNOXFH76,UNIBEL,FR,2021-12-31,2022-04-05 00:00:00,https://filings.xbrl.org/969500DCGMF1DNOXFH76/2021-12-31/ESEF/FR/0/969500DCGMF1DNOXFH76-2021-12-31-fr.json,https://filings.xbrl.org/969500DCGMF1DNOXFH76/2021-12-31/ESEF/FR/0/969500DCGMF1DNOXFH76-2021-12-31-fr.zip,0
969500DCGMF1DNOXFH76-2022-12-31-ESEF-FR-0,969500DCGMF1DNOXFH76,UNIBEL,FR,2022-12-31,2023-04-04 21:51:25.585668,https://filings.xbrl.org/969500DCGMF1DNOXFH76/2022-12-31/ESEF/FR/0/969500DCGMF1DNOXFH76-2022-12-31-fr.json,https://filings.xbrl.org/969500DCGMF1DNOXFH76/2022-12-31/ESEF/FR/0/969500DCGMF1DNOXFH76-2022-12-31-fr.zip,0
969500DIVIP5VKNW4948-2021-12-31-ESEF-FR-0,969500DIVIP5VKNW4948,VALNEVA,FR,2021-12-31,2022-03-24 00:00:00,https://filings.xbrl.org/969500DIVIP5VKNW4948/2021-12-31/ESEF/FR/0/valneva-2021-12-31-fr.json,https://filings.xbrl.org/969500DIVIP5VKNW4948/2021-12-31/ESEF/FR/0/valneva-2021-12-31-fr.zip,0
969500DIVIP5VKNW4948-2022-12-31-ESEF-FR-0,969500DIVIP5VKNW4948,VALNEVA,FR,2022-12-31,2023-04-04 21:51:55.813642,https://filings.xbrl.org/969500DIVIP5VKNW4948/2022-12-31/ESEF/FR/0/valneva-2022-12-31-fr.json,https://filings.xbrl.org/969500DIVIP5VKNW4948/2022-12-31/ESEF/FR/0/valneva-2022-12-31-fr.zip,0
969500E7V019H9NP7427-2020-12-31-ESEF-FR-0,969500E7V019H9NP7427,AYVENS,FR,2020-12-31,2021-05-18 00:00:00,https://filings.xbrl.org/969500E7V019H9NP7427/2020-12-31/ESEF/FR/0/ald-2020-12-31AR.json,https://filings.xbrl.org/969500E7V019H9NP7427/2020-12-31/ESEF/FR/0/ald-2020-12-31AR.zip,0
969500E7V019H9NP7427-2021-12-31-ESEF-FR-0,969500E7V019H9NP7427,AYVENS,FR,2021-12-31,2022-04-26 00:00:00,https://filings.xbrl.org/969500E7V019H9NP7427/2021-12-31/ESEF/FR/0/969500e7v019h9np7427-2021-31-12.json,https://filings.xbrl.org/969500E7V019H9NP7427/2021-12-31/ESEF/FR/0/ald-2021-12-31-EN.zip,0
969500E7V019H9NP7427-2022-12-31-ESEF-FR-0,969500E7V019H9NP7427,AYVENS,FR,2022-12-31,2023-04-18 11:40:27.588985,https://filings.xbrl.org/969500E7V019H9NP7427/2022-12-31/ESEF/FR/0/ald-2022-12-31-en.json,https://filings.xbrl.org/969500E7V019H9NP7427/2022-12-31/ESEF/FR/0/ald-2022-12-31-EN.zip,0
969500EQZGSVHQZQE212-2021-12-31-ESEF-FR-0,969500EQZGSVHQZQE212,VITURA S.A.,FR,2021-12-31,2022-04-05 00:00:00,https://filings.xbrl.org/969500EQZGSVHQZQE212/2021-12-31/ESEF/FR/0/969500EQZGSVHQZQE212-2021-12-31-fr.json,https://filings.xbrl.org/969500EQZGSVHQZQE212/2021-12-31/ESEF/FR/0/969500EQZGSVHQZQE212-2021-12-31-fr.zip,0
969500EQZGSVHQZQE212-2022-12-31-ESEF-FR-0,969500EQZGSVHQZQE212,VITURA S.A.,FR,2022-12-31,2023-04-04 21:51:14.031202,https://filings.xbrl.org/969500EQZGSVHQZQE212/2022-12-31/ESEF/FR/0/969500EQZGSVHQZQE212-2022-12-31-fr.json,https://filings.xbrl.org/969500EQZGSVHQZQE212/2022-12-31/ESEF/FR/0/969500EQZGSVHQZQE212-2022-12-31-fr.zip,0
969500EZGEO9W4JXR353-2021-12-31-ESEF-FR-0,969500EZGEO9W4JXR353,NICOX SA,FR,2021-12-31,2022-05-03 00:00:00,https://filings.xbrl.org/969500EZGEO9W4JXR353/2021-12-31/ESEF/FR/0/969500EZGEO9W4JXR353-2021-12-31AR.json,https://filings.xbrl.org/969500EZGEO9W4JXR353/2021-12-31/ESEF/FR/0/969500EZGEO9W4JXR353-2021-12-31AR.zip,0
